學年,學期,國家,學校,學院,學系
97年度,一學年,日本,筑波大學,文學院,日本語文學系
97年度,一學年,日本,筑波大學,文學院,日本語文學系
97年度,一學年,日本,筑波大學,管理學院,國際企業學系
97年度,一學年,日本,筑波大學,文學院,日本語文學系
97年度,一學年,荷蘭,萊頓大學,理學院,心理學系
97年度,一學年,荷蘭,萊頓大學,文學院,中國文學系
97年度,一學年,瑞典,隆德大學,工學院,化學工程學系
97年度,一學年,挪威,奧斯陸大學,理學院,化學系
97年度,一學年,挪威,奧斯陸大學,管理學院,財務金融學系
97年度,一學年,美國,奧瑞岡大學,文學院,外國語文學系
97年度,一學年,美國,奧瑞岡大學,社會科學院,經濟學系
97年度,一學年,新加坡,新加坡管理大學,社會科學院,經濟學系
97年度,一學年,新加坡,新加坡管理大學,管理學院,會計學系
97年度,一學年,新加坡,新加坡管理大學,文學院,中國文學系
97年度,一學年,荷蘭,葛洛寧恩大學,生物資源暨農學院,園藝暨景觀學系
97年度,一學年,荷蘭,葛洛寧恩大學,醫學院,護理學系
97年度,一學年,荷蘭,葛洛寧恩大學,工學院,化學工程學系
97年度,一學年,芬蘭,赫爾辛基大學,社會科學院,政治學系
97年度,一學年,日本,慶應義塾大學,文學院,圖書資訊學系
97年度,一學年,日本,慶應義塾大學,文學院,圖書資訊學系
97年度,一學年,澳大利亞,澳洲國立大學,社會科學院,政治學系
97年度,一學年,瑞典,優密歐大學,管理學院,財務金融學系
97年度,一學年,瑞典,優密歐大學,社會科學院,經濟學系
97年度,一學年,瑞典,優密歐大學,管理學院,財務金融學系
97年度,一學年,日本,關西大學,文學院,日本語文學系
97年度,一學期,日本,關西大學,理學院,物理學系
97年度,一學年,德國,艾朗根紐倫堡大學,社會科學院,經濟學系
97年度,一學年,德國,艾朗根紐倫堡大學,社會科學院,政治學系
97年度,一學年,德國,杜賓根大學,醫學院,醫學系
96年度,一學年,日本,九州大學,文學院,日本語文學系
96年度,一學年,法國,巴黎高等政治學院,管理學院,國際企業學系
96年度,一學年,法國,巴黎高等綜合理工學院,社會科學院,經濟學系
96年度,一學年,比利時,布魯塞爾自由大學,社會科學院,經濟學系
96年度,一學年,比利時,布魯塞爾自由大學,社會科學院,經濟學系
96年度,一學年,美國,加州大學,管理學院,財務金融學系
96年度,一學年,美國,加州大學,生命科學院,生化科技學系
96年度,一學年,美國,加州大學,管理學院,財務金融學系
96年度,一學年,美國,加州大學,管理學院,國際企業學系
96年度,一學年,美國,加州大學,社會科學院,政治學系
96年度,一學年,美國,加州大學,醫學院,醫學系
96年度,一學年,美國,加州大學,生物資源暨農學院,園藝暨景觀學系
96年度,一學年,美國,加州大學,管理學院,國際企業學系
96年度,一學年,美國,加州州立大學,文學院,外國語文學系
96年度,一學年,美國,加州州立大學,管理學院,國際企業學系
96年度,一學年,美國,加州州立大學,文學院,中國文學系
96年度,一學年,日本,北海道大學,文學院,圖書資訊學系
96年度,一學年,日本,北海道大學,管理學院,國際企業學系
96年度,一學年,日本,北海道大學,文學院,日本語文學系
96年度,一學年,日本,北海道大學,文學院,日本語文學系
96年度,一學年,德國,卡爾斯魯爾理工學院,文學院,外國語文學系
96年度,一學年,德國,卡爾斯魯爾理工學院,社會科學院,政治學系
96年度,一學年,德國,卡爾斯魯爾理工學院,文學院,中國文學系
96年度,一學年,美國,伊利諾大學芝加哥分校,理學院,心理學系
96年度,一學年,德國,多特蒙德工業大學,理學院,物理學系
96年度,一學年,德國,多特蒙德工業大學,文學院,歷史學系
96年度,一學年,日本,早稻田大學,文學院,日本語文學系
96年度,一學年,日本,早稻田大學,文學院,日本語文學系
96年度,一學年,加拿大,西門菲沙大學,文學院,外國語文學系
96年度,一學年,加拿大,西門菲沙大學,工學院,機械工程學系
96年度,一學年,德國,杜賓根大學,文學院,外國語文學系
96年度,一學年,德國,杜賓根大學,社會科學院,政治學系
96年度,一學年,美國,亞利桑那州立大學,文學院,外國語文學系
96年度,一學年,美國,亞利桑那州立大學,理學院,心理學系
96年度,一學年,日本,京都大學,醫學院,藥學系
96年度,一學年,日本,京都大學,文學院,日本語文學系
96年度,一學年,法國,尚慕蘭里昂第三大學,理學院,物理學系
96年度,一學年,法國,尚慕蘭里昂第三大學,工學院,機械工程學系
96年度,一學年,法國,尚慕蘭里昂第三大學,理學院,大氣科學系
96年度,一學年,日本,明治大學,文學院,日本語文學系
96年度,一學年,日本,東北大學,文學院,日本語文學系
96年度,一學年,日本,東北大學,電機資訊學院,資訊工程學系
96年度,一學年,日本,東北大學,管理學院,財務金融學系
96年度,一學年,日本,東京外國語大學,文學院,歷史學系
96年度,一學年,日本,東京外國語大學,文學院,外國語文學系
96年度,一學年,日本,東京學藝大學,管理學院,工商管理學系
96年度,一學年,日本,東京學藝大學,社會科學院,經濟學系
96年度,一學年,日本,東京學藝大學,文學院,日本語文學系
96年度,一學年,奧地利,林茲大學,理學院,地理環境資源學系
96年度,一學年,奧地利,林茲大學,管理學院,會計學系
96年度,一學年,奧地利,林茲大學,文學院,日本語文學系
96年度,一學年,奧地利,林茲大學,管理學院,國際企業學系
96年度,一學年,德國,波昂大學,文學院,外國語文學系
96年度,一學年,英國,南安普頓大學,文學院,外國語文學系
96年度,一學年,德國,柏林自由大學,法律學院,法律學系
96年度,一學年,法國,科諾伯勒阿爾卑斯大學,理學院,物理學系
96年度,一學年,南韓,首爾國立大學,社會科學院,政治學系
96年度,一學年,香港,香港中文大學,社會科學院,政治學系
96年度,一學年,香港,香港中文大學,醫學院,護理學系
96年度,一學期,香港,香港中文大學,社會科學院,政治學系
96年度,一學年,香港,香港城市大學,社會科學院,經濟學系
96年度,一學期,香港,香港城市大學,社會科學院,社會學系
96年度,一學期,香港,香港城市大學,工學院,化學工程學系
96年度,一學年,丹麥,哥本哈根大學,管理學院,財務金融學系
96年度,一學年,澳大利亞,格里菲斯大學,管理學院,財務金融學系
96年度,一學年,德國,海德堡大學,文學院,外國語文學系
96年度,一學年,德國,海德堡大學,電機資訊學院,電機工程學系
96年度,一學年,荷蘭,烏特列茲大學,社會科學院,社會學系
96年度,一學年,荷蘭,烏特列茲大學,社會科學院,政治學系
96年度,一學年,日本,琉球大學,文學院,日本語文學系
96年度,一學年,日本,琉球大學,電機資訊學院,電機工程學系
96年度,一學年,日本,琉球大學,文學院,外國語文學系
96年度,一學年,美國,馬里蘭大學,管理學院,財務金融學系
96年度,一學年,美國,馬里蘭大學,文學院,外國語文學系
96年度,一學年,澳大利亞,馬奎里大學,生命科學院,生命科學系
96年度,一學年,荷蘭,馬斯垂克大學,管理學院,國際企業學系
96年度,一學年,荷蘭,馬斯垂克大學,社會科學院,經濟學系
96年度,一學年,荷蘭,馬斯垂克大學,社會科學院,經濟學系
96年度,一學年,荷蘭,馬斯垂克大學,管理學院,國際企業學系
96年度,一學年,日本,國際教養大學,管理學院,國際企業學系
96年度,一學年,日本,國際教養大學,文學院,日本語文學系
96年度,一學年,日本,國際教養大學,文學院,日本語文學系
96年度,一學年,日本,國際教養大學,管理學院,國際企業學系
96年度,一學年,愛爾蘭,都柏林大學三一學院,管理學院,工商管理學系
96年度,一學年,愛爾蘭,都柏林大學三一學院,理學院,心理學系
96年度,一學年,日本,創價大學,文學院,日本語文學系
96年度,一學年,美國,喬治亞大學,管理學院,國際企業學系
96年度,一學年,美國,喬治亞大學,理學院,心理學系
96年度,一學年,美國,喬治亞大學,管理學院,財務金融學系
96年度,一學年,美國,喬治亞大學,管理學院,工商管理學系
96年度,一學年,美國,喬治亞大學,管理學院,財務金融學系
96年度,一學年,瑞典,斯德哥爾摩大學,管理學院,財務金融學系
96年度,一學年,瑞典,斯德哥爾摩大學,文學院,外國語文學系
96年度,一學年,智利,智利天主教大學,生物資源暨農學院,動物科學技術學系
96年度,一學年,智利,智利天主教大學,生物資源暨農學院,植物病理與微生物學系
96年度,一學年,荷蘭,萊頓大學,工學院,機械工程學系
96年度,一學年,荷蘭,萊頓大學,文學院,外國語文學系
96年度,一學年,瑞典,隆德大學,文學院,外國語文學系
96年度,一學年,美國,奧瑞岡大學,管理學院,財務金融學系
96年度,一學期,新加坡,新加坡國立大學,生物資源暨農學院,農業經濟學系
96年度,一學期,新加坡,新加坡國立大學,社會科學院,經濟學系
96年度,一學年,新加坡,新加坡管理大學,管理學院,工商管理學系
96年度,一學年,新加坡,新加坡管理大學,社會科學院,經濟學系
96年度,一學年,新加坡,新加坡管理大學,管理學院,工商管理學系
96年度,一學年,新加坡,新加坡管理大學,管理學院,工商管理學系
96年度,一學年,澳大利亞,新南威爾斯大學,管理學院,財務金融學系
96年度,一學年,加拿大,滑鐵盧大學,工學院,土木工程學系
96年度,一學年,加拿大,滑鐵盧大學,電機資訊學院,電機工程學系
96年度,一學年,瑞士,聖加倫大學,社會科學院,政治學系
96年度,一學年,瑞士,聖加倫大學,生命科學院,生命科學系
96年度,一學年,荷蘭,葛洛寧恩大學,文學院,外國語文學系
96年度,一學年,加拿大,維多利亞大學,生命科學院,生命科學系
96年度,一學期,蒙古,蒙古國立大學,文學院,歷史學系
96年度,一學年,美國,賓州大學,生物資源暨農學院,動物科學技術學系
96年度,一學年,芬蘭,赫爾辛基大學,生物資源暨農學院,生物產業傳播暨發展學系
96年度,一學年,日本,慶應義塾大學,文學院,日本語文學系
96年度,一學年,日本,慶應義塾大學,文學院,日本語文學系
96年度,一學年,澳大利亞,墨爾本大學,文學院,外國語文學系
96年度,一學年,澳大利亞,澳洲國立大學,管理學院,國際企業學系
96年度,一學年,瑞典,優密歐大學,社會科學院,社會工作學系
96年度,一學年,瑞典,優密歐大學,生命科學院,生命科學系
96年度,一學年,瑞典,優密歐大學,管理學院,工商管理學系
96年度,一學年,日本,關西大學,文學院,日本語文學系
96年度,一學年,日本,關西大學,文學院,日本語文學系
96年度,一學年,丹麥,哥本哈根大學,社會科學院,政治學系
95年度,一學年,日本,九州大學,法律學院,法律學系
95年度,一學年,日本,九州大學,管理學院,財務金融學系
95年度,一學年,比利時,布魯塞爾自由大學,管理學院,財務金融學系
95年度,一學年,美國,加州大學,電機資訊學院,資訊工程學系
95年度,一學年,美國,加州大學,管理學院,國際企業學系
95年度,一學年,美國,加州大學,文學院,外國語文學系
95年度,一學年,美國,加州大學,理學院,數學系
95年度,一學年,美國,加州大學,生物資源暨農學院,生物產業傳播暨發展學系
95年度,一學年,美國,加州大學,管理學院,資訊管理學系
95年度,一學年,美國,加州大學,電機資訊學院,電機工程學系
95年度,一學年,美國,加州大學,工學院,材料科學與工程學系
95年度,一學年,美國,加州州立大學,生物資源暨農學院,生物機電工程學系
95年度,一學年,美國,加州州立大學,管理學院,會計學系
95年度,一學年,美國,加州州立大學,文學院,外國語文學系
95年度,一學年,日本,北海道大學,文學院,日本語文學系
95年度,一學年,日本,北海道大學,文學院,外國語文學系
95年度,一學年,日本,北海道大學,社會科學院,政治學系
95年度,一學年,日本,北海道大學,法律學院,法律學系
95年度,一學年,德國,卡爾斯魯爾理工學院,文學院,圖書資訊學系
95年度,一學年,加拿大,多倫多大學,理學院,物理學系
95年度,一學年,德國,多特蒙德工業大學,文學院,外國語文學系
95年度,一學年,日本,早稻田大學,文學院,日本語文學系
95年度,一學期,日本,早稻田大學,社會科學院,政治學系
95年度,一學年,加拿大,西門菲沙大學,社會科學院,政治學系
95年度,一學年,加拿大,西門菲沙大學,理學院,心理學系
95年度,一學年,日本,京都大學,生物資源暨農學院,生物機電工程學系
95年度,一學年,法國,尚慕蘭里昂第三大學,管理學院,國際企業學系
95年度,一學年,法國,尚慕蘭里昂第三大學,文學院,外國語文學系
95年度,一學年,法國,尚慕蘭里昂第三大學,管理學院,財務金融學系
95年度,一學年,日本,明治大學,文學院,日本語文學系
95年度,一學年,日本,東北大學,工學院,材料科學與工程學系
95年度,一學年,日本,東北大學,文學院,日本語文學系
95年度,一學年,日本,東京外國語大學,文學院,外國語文學系
95年度,一學年,日本,東京外國語大學,文學院,日本語文學系
95年度,一學年,日本,東京學藝大學,工學院,土木工程學系
95年度,一學年,日本,東京學藝大學,文學院,日本語文學系
95年度,一學年,日本,東京學藝大學,文學院,日本語文學系
95年度,一學年,日本,東京學藝大學,文學院,日本語文學系
95年度,一學年,日本,東京學藝大學,文學院,外國語文學系
95年度,一學年,奧地利,林茲大學,理學院,心理學系
95年度,一學年,奧地利,林茲大學,社會科學院,經濟學系
95年度,一學年,奧地利,林茲大學,文學院,外國語文學系
95年度,一學年,奧地利,林茲大學,生物資源暨農學院,森林環境暨資源學系
95年度,一學年,英國,南安普頓大學,文學院,外國語文學系
95年度,一學期,新加坡,南洋理工大學,管理學院,國際企業學系
95年度,一學期,新加坡,南洋理工大學,工學院,材料科學與工程學系
95年度,一學年,法國,科諾伯勒阿爾卑斯大學,電機資訊學院,電機工程學系
95年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),理學院,心理學系
95年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),文學院,外國語文學系
95年度,一學年,香港,香港中文大學,文學院,外國語文學系
95年度,一學年,香港,香港中文大學,文學院,歷史學系
95年度,一學期,香港,香港中文大學,法律學院,法律學系
95年度,一學年,丹麥,哥本哈根大學,文學院,外國語文學系
95年度,一學年,丹麥,哥本哈根大學,管理學院,財務金融學系
95年度,一學期,南韓,浦項工科大學,理學院,心理學系
95年度,一學期,南韓,浦項工科大學,理學院,化學系
95年度,一學年,德國,海德堡大學,生物資源暨農學院,園藝暨景觀學系
95年度,一學年,德國,海德堡大學,文學院,外國語文學系
95年度,一學年,德國,海德堡大學,社會科學院,政治學系
95年度,一學年,日本,琉球大學,管理學院,工商管理學系
95年度,一學年,日本,琉球大學,文學院,外國語文學系
95年度,一學年,日本,琉球大學,文學院,日本語文學系
95年度,一學年,日本,琉球大學,文學院,日本語文學系
95年度,一學年,美國,馬里蘭大學,管理學院,國際企業學系
95年度,一學年,美國,馬里蘭大學,文學院,外國語文學系
95年度,一學年,澳大利亞,馬奎里大學,管理學院,國際企業學系
95年度,一學年,法國,巴黎高等綜合理工學院,電機資訊學院,電機工程學系
95年度,一學年,法國,巴黎高等綜合理工學院,生物資源暨農學院,園藝暨景觀學系
95年度,一學年,日本,國際教養大學,生物資源暨農學院,農業化學系
95年度,一學年,日本,國際教養大學,文學院,日本語文學系
95年度,一學年,日本,國際教養大學,社會科學院,政治學系
95年度,一學年,日本,國際教養大學,文學院,日本語文學系
95年度,一學年,日本,國際教養大學,文學院,日本語文學系
95年度,一學年,日本,御茶水女子大學,文學院,日本語文學系
95年度,一學年,日本,御茶水女子大學,文學院,日本語文學系
95年度,一學年,愛爾蘭,都柏林大學三一學院,社會科學院,社會工作學系
95年度,一學年,愛爾蘭,都柏林大學三一學院,管理學院,工商管理學系
95年度,一學年,日本,創價大學,文學院,日本語文學系
95年度,一學年,美國,喬治亞大學,管理學院,國際企業學系
95年度,一學年,美國,喬治亞大學,社會科學院,社會工作學系
95年度,一學年,美國,喬治亞大學,文學院,中國文學系
95年度,一學年,美國,喬治亞大學,管理學院,財務金融學系
95年度,一學年,美國,喬治亞大學,電機資訊學院,資訊工程學系
95年度,一學年,瑞典,斯德哥爾摩大學,文學院,外國語文學系
95年度,一學年,瑞典,斯德哥爾摩大學,法律學院,法律學系
95年度,一學年,加拿大,渥太華大學,管理學院,財務金融學系
95年度,一學年,美國,華盛頓大學,理學院,化學系
95年度,一學年,荷蘭,萊頓大學,管理學院,財務金融學系
95年度,一學年,荷蘭,萊頓大學,文學院,外國語文學系
95年度,一學年,瑞典,隆德大學,文學院,圖書資訊學系
95年度,一學年,瑞典,隆德大學,理學院,物理學系
95年度,一學年,南韓,順天國立大學,社會科學院,社會工作學系
95年度,一學年,美國,奧瑞岡大學,管理學院,國際企業學系
95年度,一學年,美國,奧瑞岡大學,管理學院,工商管理學系
95年度,一學期,新加坡,新加坡國立大學,管理學院,國際企業學系
95年度,一學期,新加坡,新加坡國立大學,電機資訊學院,電機工程學系
95年度,一學年,澳大利亞,新南威爾斯大學,文學院,外國語文學系
95年度,一學年,澳大利亞,新南威爾斯大學,社會科學院,社會學系
95年度,一學年,澳大利亞,新南威爾斯大學,管理學院,財務金融學系
95年度,一學期,澳大利亞,新南威爾斯大學,生物資源暨農學院,園藝暨景觀學系
95年度,一學年,加拿大,滑鐵盧大學,理學院,心理學系
95年度,一學年,加拿大,滑鐵盧大學,理學院,心理學系
95年度,一學年,加拿大,滑鐵盧大學,理學院,心理學系
95年度,一學年,瑞士,聖加倫大學,生命科學院,生命科學系
95年度,一學年,加拿大,維多利亞大學,管理學院,國際企業學系
95年度,一學年,美國,賓州大學,文學院,人類學系
95年度,一學年,芬蘭,赫爾辛基大學,生命科學院,生命科學系
95年度,一學年,澳大利亞,墨爾本大學,文學院,外國語文學系
95年度,一學年,澳大利亞,墨爾本大學,文學院,外國語文學系
95年度,一學年,澳大利亞,澳洲國立大學,生命科學院,生命科學系
95年度,一學年,澳大利亞,澳洲國立大學,管理學院,財務金融學系
95年度,一學年,日本,關西大學,文學院,日本語文學系
95年度,一學年,日本,關西大學,文學院,日本語文學系
95年度,一學年,德國,艾朗根紐倫堡大學,社會科學院,政治學系
95年度,一學年,荷蘭,葛洛寧恩大學,管理學院,國際企業學系
95年度,一學年,荷蘭,葛洛寧恩大學,文學院,外國語文學系
95年度,一學年,荷蘭,葛洛寧恩大學,文學院,外國語文學系
94年度,一學年,日本,九州大學,社會科學院,政治學系
94年度,一學年,日本,九州大學,文學院,日本語文學系
94年度,一學年,美國,加州大學,電機資訊學院,電機工程學系
94年度,一學年,美國,加州大學,電機資訊學院,電機工程學系
94年度,一學年,美國,加州大學,理學院,物理學系
94年度,一學年,美國,加州州立大學,文學院,外國語文學系
94年度,一學年,美國,加州州立大學,社會科學院,政治學系
94年度,一學年,加拿大,多倫多大學,生物資源暨農學院,生物環境系統工程學系
94年度,一學年,日本,早稻田大學,文學院,日本語文學系
94年度,一學年,日本,早稻田大學,文學院,日本語文學系
94年度,一學年,加拿大,西門菲沙大學,生物資源暨農學院,獸醫學系
94年度,一學年,加拿大,西門菲沙大學,醫學院,藥學系
94年度,一學年,日本,明治大學,文學院,日本語文學系
94年度,一學年,日本,東北大學,文學院,日本語文學系
94年度,一學年,日本,東北大學,電機資訊學院,資訊工程學系
94年度,一學年,日本,東北大學,工學院,土木工程學系
94年度,一學年,日本,東京外國語大學,文學院,外國語文學系
94年度,一學年,日本,東京外國語大學,文學院,日本語文學系
94年度,一學年,日本,東京學藝大學,文學院,日本語文學系
94年度,一學年,日本,東京學藝大學,管理學院,會計學系
94年度,一學年,奧地利,林茲大學,管理學院,工商管理學系
94年度,一學年,奧地利,林茲大學,管理學院,會計學系
94年度,一學年,新加坡,南洋理工大學,社會科學院,經濟學系
94年度,一學年,德國,柏林自由大學,社會科學院,經濟學系
94年度,一學年,德國,柏林自由大學,文學院,外國語文學系
94年度,一學年,法國,科諾伯勒阿爾卑斯大學,管理學院,國際企業學系
94年度,一學年,法國,科諾伯勒阿爾卑斯大學,管理學院,國際企業學系
94年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),文學院,外國語文學系
94年度,一學年,香港,香港中文大學,管理學院,國際企業學系
94年度,一學期,香港,香港中文大學,管理學院,會計學系
94年度,一學年,香港,香港中文大學,管理學院,國際企業學系
94年度,一學期,香港,香港中文大學,社會科學院,經濟學系
94年度,一學年,丹麥,哥本哈根大學,管理學院,國際企業學系
94年度,一學年,南韓,浦項工科大學,工學院,工程科學及海洋工程學系
94年度,一學年,德國,海德堡大學,社會科學院,經濟學系
94年度,一學年,德國,海德堡大學,社會科學院,社會學系
94年度,一學年,德國,海德堡大學,社會科學院,政治學系
94年度,一學年,荷蘭,烏特列茲大學,管理學院,國際企業學系
94年度,一學年,荷蘭,烏特列茲大學,管理學院,國際企業學系
94年度,一學年,日本,琉球大學,文學院,日本語文學系
94年度,一學年,日本,琉球大學,社會科學院,政治學系
94年度,一學年,日本,御茶水女子大學,文學院,日本語文學系
94年度,一學年,日本,御茶水女子大學,文學院,日本語文學系
94年度,一學年,愛爾蘭,都柏林大學三一學院,社會科學院,社會學系
94年度,一學年,愛爾蘭,都柏林大學三一學院,文學院,歷史學系
94年度,一學年,日本,創價大學,文學院,日本語文學系
94年度,一學年,美國,喬治亞大學,管理學院,工商管理學系
94年度,一學年,美國,喬治亞大學,管理學院,國際企業學系
94年度,一學年,美國,喬治亞大學,管理學院,資訊管理學系
94年度,一學年,美國,喬治亞大學,理學院,物理學系
94年度,一學年,美國,喬治亞大學,社會科學院,政治學系
94年度,一學年,瑞典,斯德哥爾摩大學,社會科學院,社會工作學系
94年度,一學年,瑞典,斯德哥爾摩大學,管理學院,財務金融學系
94年度,一學年,加拿大,渥太華大學,生物資源暨農學院,農業化學系
94年度,一學年,瑞典,隆德大學,文學院,中國文學系
94年度,一學年,瑞典,隆德大學,文學院,哲學系
94年度,一學年,美國,奧瑞岡大學,文學院,圖書資訊學系
94年度,一學年,新加坡,新加坡國立大學,管理學院,國際企業學系
94年度,一學年,新加坡,新加坡國立大學,文學院,圖書資訊學系
94年度,一學年,澳大利亞,新南威爾斯大學,社會科學院,社會學系
94年度,一學年,瑞士,聖加倫大學,管理學院,工商管理學系
94年度,一學年,荷蘭,葛洛寧恩大學,文學院,外國語文學系
94年度,一學年,加拿大,維多利亞大學,社會科學院,社會學系
94年度,一學年,美國,賓州大學,文學院,外國語文學系
94年度,一學年,芬蘭,赫爾辛基大學,醫學院,護理學系
94年度,一學年,芬蘭,赫爾辛基大學,文學院,外國語文學系
94年度,一學年,日本,慶應義塾大學,管理學院,國際企業學系
94年度,一學年,日本,慶應義塾大學,文學院,日本語文學系
94年度,一學年,日本,關西大學,文學院,日本語文學系
94年度,一學年,日本,關西大學,文學院,圖書資訊學系
94年度,一學年,美國,夏威夷大學瑪諾亞分校,理學院,物理學系
94年度,一學年,南韓,首爾國立大學,電機資訊學院,資訊工程學系
93年度,一學年,日本,九州大學,醫學院,醫學系
93年度,一學年,日本,九州大學,文學院,日本語文學系
93年度,一學年,日本,九州大學,管理學院,國際企業學系
93年度,一學年,日本,九州大學,理學院,大氣科學系
93年度,一學年,美國,加州大學,文學院,外國語文學系
93年度,一學年,美國,加州大學,文學院,外國語文學系
93年度,一學年,美國,加州大學,管理學院,會計學系
93年度,一學年,美國,加州大學,文學院,外國語文學系
93年度,一學年,美國,加州大學,文學院,外國語文學系
93年度,一學年,美國,加州州立大學,管理學院,工商管理學系
93年度,一學年,美國,加州州立大學,工學院,機械工程學系
93年度,一學年,美國,加州州立大學,社會科學院,社會學系
93年度,一學年,澳大利亞,汀肯大學,文學院,外國語文學系
93年度,一學年,澳大利亞,汀肯大學,文學院,外國語文學系
93年度,一學年,加拿大,多倫多大學,管理學院,國際企業學系
93年度,一學年,加拿大,多倫多大學,社會科學院,政治學系
93年度,一學年,日本,早稻田大學,社會科學院,政治學系
93年度,一學年,日本,早稻田大學,工學院,工程科學及海洋工程學系
93年度,一學年,日本,東北大學,文學院,日本語文學系
93年度,一學年,日本,東北大學,工學院,材料科學與工程學系
93年度,一學年,日本,東北大學,文學院,日本語文學系
93年度,一學年,日本,東北大學,理學院,化學系
93年度,一學年,日本,東京外國語大學,文學院,日本語文學系
93年度,一學年,日本,東京外國語大學,社會科學院,經濟學系
93年度,一學年,日本,東京學藝大學,文學院,日本語文學系
93年度,一學年,日本,東京學藝大學,文學院,外國語文學系
93年度,一學年,奧地利,林茲大學,管理學院,國際企業學系
93年度,一學年,奧地利,林茲大學,管理學院,工商管理學系
93年度,一學年,奧地利,林茲大學,管理學院,國際企業學系
93年度,一學年,奧地利,林茲大學,管理學院,國際企業學系
93年度,一學年,奧地利,林茲大學,生命科學院,生命科學系
93年度,一學年,奧地利,林茲大學,管理學院,工商管理學系
93年度,一學期,新加坡,南洋理工大學,管理學院,工商管理學系
93年度,一學年,新加坡,南洋理工大學,管理學院,財務金融學系
93年度,一學年,法國,科諾伯勒阿爾卑斯大學,文學院,外國語文學系
93年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),文學院,外國語文學系
93年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),文學院,外國語文學系
93年度,一學年,香港,香港中文大學,管理學院,國際企業學系
93年度,一學年,香港,香港中文大學,管理學院,工商管理學系
93年度,一學年,香港,香港中文大學,社會科學院,政治學系
93年度,一學年,香港,香港中文大學,文學院,外國語文學系
93年度,一學年,丹麥,哥本哈根大學,管理學院,財務金融學系
93年度,一學年,丹麥,哥本哈根大學,社會科學院,政治學系
93年度,一學年,荷蘭,烏特列茲大學,文學院,戲劇學系
93年度,一學年,荷蘭,烏特列茲大學,文學院,外國語文學系
93年度,一學年,日本,琉球大學,社會科學院,政治學系
93年度,一學年,日本,琉球大學,文學院,中國文學系
93年度,一學年,日本,御茶水女子大學,文學院,日本語文學系
93年度,一學年,愛爾蘭,都柏林大學三一學院,文學院,外國語文學系
93年度,一學年,日本,創價大學,文學院,日本語文學系
93年度,一學年,日本,創價大學,文學院,日本語文學系
93年度,一學年,荷蘭,堤堡大學,管理學院,國際企業學系
93年度,一學年,瑞典,隆德大學,管理學院,財務金融學系
93年度,一學年,美國,奧克拉荷瑪大學,管理學院,財務金融學系
93年度,一學年,美國,奧克拉荷瑪大學,管理學院,資訊管理學系
93年度,一學年,新加坡,新加坡國立大學,文學院,日本語文學系
93年度,一學期,新加坡,新加坡國立大學,文學院,歷史學系
93年度,一學期,澳大利亞,新南威爾斯大學,生命科學院,生命科學系
93年度,一學年,澳大利亞,新南威爾斯大學,管理學院,資訊管理學系
93年度,一學年,瑞士,聖加倫大學,社會科學院,政治學系
93年度,一學年,瑞士,聖加倫大學,管理學院,國際企業學系
93年度,一學年,荷蘭,葛洛寧恩大學,管理學院,財務金融學系
93年度,一學年,荷蘭,葛洛寧恩大學,管理學院,會計學系
93年度,一學年,加拿大,維多利亞大學,管理學院,國際企業學系
93年度,一學年,芬蘭,赫爾辛基大學,文學院,外國語文學系
93年度,一學年,芬蘭,赫爾辛基大學,社會科學院,經濟學系
93年度,一學年,日本,慶應義塾大學,文學院,日本語文學系
93年度,一學年,日本,慶應義塾大學,文學院,日本語文學系
93年度,一學年,澳大利亞,墨爾本大學,管理學院,財務金融學系
93年度,一學年,澳大利亞,墨爾本大學,管理學院,國際企業學系
93年度,一學年,澳大利亞,澳洲國立大學,文學院,外國語文學系
93年度,一學年,日本,關西大學,文學院,日本語文學系
93年度,一學年,日本,關西大學,文學院,日本語文學系
93年度,一學年,德國,柏林自由大學,社會科學院,政治學系
93年度,一學年,美國,夏威夷大學瑪諾亞分校,文學院,外國語文學系
93年度,一學年,南韓,首爾國立大學,生命科學院,生命科學系
92年度,一學年,日本,九州大學,文學院,日本語文學系
92年度,一學年,日本,九州大學,生物資源暨農學院,園藝暨景觀學系
92年度,一學年,日本,九州大學,文學院,外國語文學系
92年度,一學年,日本,九州大學,管理學院,國際企業學系
92年度,一學年,日本,九州大學,社會科學院,政治學系
92年度,一學年,美國,加州大學,管理學院,財務金融學系
92年度,一學年,美國,加州大學,電機資訊學院,資訊工程學系
92年度,一學年,美國,加州大學,理學院,心理學系
92年度,一學年,美國,加州州立大學,社會科學院,政治學系
92年度,一學年,美國,加州州立大學,管理學院,財務金融學系
92年度,一學年,美國,加州州立大學,管理學院,資訊管理學系
92年度,一學年,美國,加州州立大學,文學院,外國語文學系
92年度,一學年,美國,加州州立大學,管理學院,財務金融學系
92年度,一學年,美國,北卡羅萊納大學,社會科學院,經濟學系
92年度,一學年,澳大利亞,汀肯大學,文學院,日本語文學系
92年度,一學年,澳大利亞,汀肯大學,管理學院,工商管理學系
92年度,一學年,加拿大,多倫多大學,管理學院,財務金融學系
92年度,一學年,加拿大,多倫多大學,社會科學院,政治學系
